Answers,vader_sentiment_label,vader_sentiment_score
Nothing,Neutral,0
Maybe less complicated the test,Neutral,0
Nothing,Neutral,0
In order to make it easier to follow the course topics it would be nice to give clearly structured information rather than showing various Youtube videos and presentation slides throughout the lectures. Most of the time it wasn't very clear what the particular lecture was about and how the material shown corresponded to the courses topics and information given was rather old and sometimes even outdated or incorrect due to its age. Another major issue was the language barrier between students and lecturer. Questions from students weren't answered sufficiently and important information about assignments and the course in general was hard to understand or not given. ,Positive,0.3645
"I really enjoyed the theoretical part of the lecture and the ongoing little assignments throughout the semester and final task helped to follow and revise the discussed topics. The organisation of the practical part however was a bit problematic since there were changing time schedules every week so that there were ongoing conflicts with other lectures also taking place that day. Also it would be nice to find another solution for the organisation of the Lithuanian and International group works taking place simultaneously, since most of the time we were sitting around and waiting for the lecturers to check on our work but they were occupied with the Lithuanian group. Maybe there is an option to do more combined course work of both groups so that both groups could profit from the exchange.",Positive,0.8519
It would be interesting to meet stakeholders who deal with business organization,Positive,0.4588
"I have no suggestions, I think this was the best course I have ever taken. I am so grateful for this!",Positive,0.6369
"She is a very nice teacher that wants her students to learn, rather than just memorize.",Positive,0.4767
He is a great teacher that cares about his students. He is aware that we have a lot of work to do so he has always been flexible and considered with us. I would like to meet more teachers like him. ,Positive,0.9062
He is a very nice teacher. He made the subject very pleasant and interesting and gave us many opportunities so that we could pass. ,Positive,0.8442
"She is a very nice teacher, who has made sure that we learned as much as possible about her subject and provided us with all the help we needed to pass.",Positive,0.7783
